row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg,SN,Qingress
0,1003831,0.01,1,130.2951647,-16.03628,10.6701,1518.2,1.65114,0.872646,3056.04,8,2,4,1.19045007,0.977,5397.1,4.32801,24.11271,0.211067
1,1129033,0.01,1,37.15511493,-7.060660747,9.62713,1410.98,1.36002,2.174,19480.6,4,1,1,0.9473269,0.991,5556,4.49347,309.9769,0.250185
2,1167538,0.01,1,70.99758851,-31.90650096,10.0127,2155.21,13.7799,8.08949,4561.85,31,2,1,1.07083189,1.049,5731,4.42582,40.21151,0.526949
3,1449640,0.01,0,75.17161407,-35.20261053,11.921,1440.43,3.50155,3.89114,16264.2,5,3,1,1.695851,1.29,6383.893,4.1038,95.57832,0.51644
4,2760219,0.01,1,356.3751297,-16.11410082,11.4408,2089.61,4.66104,2.10648,4876.18,29,1,3,1.55075228,1.09,5884.475,4.10968,24.08792,0.526133
5,4070275,0.01,1,80.06664942,-4.239436749,11.3993,1439.34,5.42387,1.46436,2150.01,5,1,2,0.465777,0.463239,4179.78,4.76752,7.949579,0.0599255
6,4165850,0.01,1,114.639449,31.39443531,10.187,2501.19,4.28113,2.0809,548.451,46,1,4,1.06543076,1.003,5547.75,4.41104,11.47211,0.0603
7,4646810,0.01,1,38.27201076,-10.3517813,8.8723,1416.35,14.4908,1.53201,863.234,4,1,1,0.7611314,0.8,4844.3335,4.59786,8.789859,0.0841
8,4897275,0.01,1,148.1605375,35.11165494,7.6474,1872.34,16.71,5.40047,615.287,21,1,1,1.1450299,1.06,5733,4.38636,13.10947,0.121357
9,5109298,0.01,0,107.5981093,-5.432661572,10.6698,2202.96,1.61871,4.73975,1352.17,33,1,1,2.22468,2.38,9174,4.12011,15.698,2.36987
10,6276559,0.01,1,112.5156225,-11.79048316,11.7664,2233.92,5.43962,3.11687,5721.26,34,2,4,1.48683,1.92,8284,4.37685,21.00139,1.24865
11,6892385,0.01,1,125.4202677,13.49753318,11.2089,2504.09,8.26689,3.40689,1292,46,4,2,0.946662,0.941,5302.6,4.48843,14.14223,0.113831
12,6893917,0.01,1,125.6175197,13.73531793,9.02097,2502.39,3.08017,3.46557,8905.83,46,4,2,1.681144,1.732,7488.25,4.21485,442.9818,0.422449
13,7413227,0.01,1,212.6477947,-27.99306094,9.46381,2335.65,3.4155,1.94057,2903.12,38,1,4,2.27249575,1.176,5986,3.82738,38.44752,0.970285
14,7422496,0.01,1,81.34915832,-44.43080985,8.7601,2174.8,18.3221,6.67943,479.321,32,3,4,0.8944862,1.03,5704.56641,4.56261,9.564645,0.92182
15,7561203,0.01,1,114.3461802,-11.15129862,10.1137,2229.72,2.48403,2.19755,1595.71,34,2,4,2.13222,2.52,9240.667,4.18181,12.59252,1.09878
16,7624182,0.01,1,64.31142478,-38.84416883,8.7929,1411.82,1.10816,1.6222,1042.18,4,3,1,3.12776,2.26,9012,3.80171,27.61392,0.811098
17,8260536,0.01,1,161.8795498,36.32940545,9.58055,2616.49,10.5903,4.1854,9780.14,48,1,1,1.09243786,1.113,5893.6,4.43956,35.87614,0.362627
18,8400842,0.01,1,65.46960174,57.81719224,9.441,1819.06,3.19158,2.93273,8131.2,19,2,3,1.45175719,1.41,6885.28,4.13313,141.377,0.43667
19,8516795,0.01,1,279.1700864,23.25875249,10.5527,2395.86,8.21537,4.1243,3667.68,40,1,4,1.9625901,1.183,5785.533,3.99755,28.85812,0.257743
20,8767448,0.01,1,140.1029766,33.88241661,9.98111,1870.74,4.35322,3.99792,9420.46,21,1,3,1.57539988,1.076,5911.80029,4.06962,148.7151,0.479235
21,8853478,0.01,1,142.4444025,30.0630035,10.9762,2617.29,15.062,3.29141,2775.35,48,1,4,0.8831889,0.949,5441.30469,4.51596,10.30423,0.152613
22,8967242,0.01,1,167.2329623,34.3031907,8.3662,1904.82,7.09385,2.51076,284.238,22,1,2,0.95162344,1.01,5709,4.48062,8.397863,0.0393
23,9006668,0.01,1,349.2313233,-18.60664543,9.9266,1354.67,1.27238,1.79198,447.595,2,1,4,0.7608103,0.84,5046.95,4.59386,9.002805,0.365395
24,9033144,0.01,1,349.6061821,-19.82391579,9.74346,1354.28,4.71638,3.14316,5476.79,2,1,4,1.28171229,1.09,5756.9,4.3178,55.95856,1.57158
25,9155187,0.01,1,116.7165063,39.09457238,11.4556,2582.17,4.18784,2.99059,11415.2,47,1,4,1.15944481,0.97,5354.57227,4.34199,83.84039,0.267726
26,9348006,0.01,1,150.115134,39.45781642,10.9184,1877.56,10.2404,3.64751,9295.32,21,1,1,0.8474105,0.898,5187.7666,4.54337,28.29868,0.295843
27,9392421,0.01,1,167.7778216,39.52676934,10.7184,2613.52,19.2237,5.35821,6936.89,48,2,3,1.64832377,1,5680.8,3.97421,50.23967,0.499575
28,9725627,0.01,1,358.4085629,-10.11808243,10.9774,1356.96,4.15698,3.94353,4753.45,2,1,3,1.490412,1.27,6061,4.2569,48.92356,0.239939
29,9727392,0.01,1,358.4447305,-10.8849728,11.2932,1355.33,4.53449,4.93067,23397.9,2,1,3,1.67823672,1.29,6372,4.08773,169.2416,0.621841
30,9858404,0.01,0,48.49951973,-8.57352302,8.00006,1411.26,0.391595,0.658834,451.892,4,1,2,2.251626,1.254,6216.15,3.85503,27.88415,0.0136049
31,10837041,0.01,1,20.9229701,-8.701384149,10.4238,2116.01,0.782765,1.26215,519.191,29,1,3,0.7235266,0.64,4108.223,4.52041,9.935017,0.0467
32,11111899,0.01,1,303.8248002,36.65180277,9.6996,2420.07,0.619303,2.60504,918.152,41,1,1,1.43934917,,7812.5,,21.8394,1.30252
33,11521555,0.01,1,146.4472898,-25.45770474,9.0982,2255.07,5.86911,4.21996,2678.83,35,2,3,3.156487,1.23,6135,3.54625,34.47361,1.59266
34,11996814,0.01,1,31.17081836,65.28922445,11.6484,1790.85,0.448681,2.95387,4183.7,18,2,1,0.5662931,0.609693,4150.24756,4.62844,34.46501,1.47694
35,12421862,0.01,1,2.268159921,-27.12213329,9.92801,1356.37,10.215,2.19433,1059.65,2,1,2,0.447336,0.4437,3929.255,4.78389,11.99755,0.0844
36,13021029,0.01,1,75.29966129,-26.05415743,11.7231,1439.12,3.85574,3.93748,9909.32,5,2,2,1.32448184,1.21,6407,4.20862,66.01582,0.336494
37,13023378,0.01,1,347.0535963,-28.00783779,11.9221,2092.39,6.06685,3.08241,7290.42,29,1,1,1.06160724,1.17,6159.22754,4.43989,32.98396,0.247455
38,14091633,0.01,0,77.26019444,-36.46455952,8.8695,1440.93,5.52935,2.52504,18018.6,5,3,1,1.29019487,1.3,6350,4.34854,174.8799,1.26252
39,14091704,0.01,1,77.32346007,-36.59096644,9.1577,1438.42,0.764987,1.34264,1894.21,5,3,1,1.59924054,1.21,6307.88672,4.08721,60.76366,0.671318
40,14336130,0.01,1,105.0829291,56.82443485,8.82897,1843.85,8.08842,3.32621,480.435,20,2,3,1.25778353,1.065,5816,4.28196,13.32519,0.0678
41,14770122,0.01,1,113.7582476,17.83006525,11.8887,2500.38,3.54388,4.22388,10860.9,46,3,3,1.75841033,1.32,6424,4.07444,104.3074,0.501365
42,15247229,0.01,1,306.7308196,38.93226035,9.88658,2427.77,8.51249,3.69572,4150.65,41,1,1,1.58394,2.031,8156,4.3463,36.81046,1.84786
43,15445551,0.01,1,185.3246918,-52.84083319,10.349,1569.67,1.68279,2.99863,7754.16,10,2,2,1.54328048,1.31,6328.6665,4.16463,65.01064,0.331383
44,15863518,0.01,1,100.5206503,39.8431806,10.618,1842.71,0.557201,0.804659,1282.3,20,1,3,0.9779328,0.856,4981,4.41876,15.82006,0.40233
45,16076354,0.01,1,113.6749487,38.98653711,11.9181,2580.55,2.98638,1.50343,4640.02,47,1,4,1.76681161,1.43,6908.25,4.01738,17.82484,0.510446
46,16288184,0.01,1,253.76889,-28.71055964,11.0657,1626.8,2.18078,2.95395,16513.2,12,1,3,1.29751575,1.198,5969.5,4.30792,27.81482,0.334644
47,16740101,0.01,1,307.8598058,39.93882365,7.58204,1683.45,1.4811,3.84753,7252.45,14,1,1,2.28773,2.431,9435,4.10504,175.2365,0.306859
48,16884216,0.01,1,232.863124,33.90203256,8.5049,1964.13,11.19,2.97415,567.799,24,1,2,0.687113762,0.82,4985.4,4.66667,7.357216,0.0699
49,17005768,0.01,1,20.61056976,26.92574889,9.9176,1765.27,6.84219,3.33747,8277.33,17,1,4,1.1282,,5684,,58.59792,1.66874
50,17746821,0.01,1,118.0634082,12.13939964,11.3155,1493.17,3.12198,3.77927,6416.46,7,1,4,1.66737425,1.25,6427.10352,4.0591,57.05315,0.53391
51,17993892,0.01,1,171.274941,41.02796366,11.1065,1902.3,4.12443,3.83165,9218.74,22,2,3,1.27512312,1,5566.5,4.24009,57.3185,0.484898
52,18017227,0.01,1,171.7112909,37.70524463,11.9245,2608.1,0.620089,1.36656,1666.98,48,2,3,1.74269545,1.23,6361,4.02923,12.30679,0.573643
53,19025965,0.01,1,119.6279376,12.88345554,11.4479,1493.32,5.94496,2.43478,2771.24,7,1,4,0.706950068,0.648,4318.57031,4.43068,10.97582,0.339176
54,19028197,0.01,1,119.7743315,15.39145556,10.2479,2500.54,3.33665,1.85573,6676.76,46,4,2,0.499698,0.497757,3775.5,4.73767,133.8011,0.129996
55,19451711,0.01,1,124.6028267,-7.571279548,7.3645,1491.72,0.397165,2.79317,123.422,7,1,2,1.60920858,1.681,7929.40039,4.12359,13.43336,1.39658
56,19519368,0.01,1,124.6958825,-6.785848637,10.0854,1493.3,1.70193,1.86162,421.337,7,1,2,0.802964151,0.83,4998.74268,4.55333,8.488038,0.0671
57,20096620,0.01,1,129.8825307,47.35202101,9.9596,2580.06,2.9164,3.28681,7257.7,47,1,1,1.90852046,1.02,5579.3335,3.92298,165.3773,0.497164
58,20178111,0.01,0,89.89750047,-40.3957704,10.2767,1468.62,1.73442,2.01792,2121.99,6,3,1,0.9513755,1.06,5763,4.52095,25.04419,0.73811
59,20182165,0.01,1,226.1813346,38.60522825,7.0166,1936.91,9.78164,3.26521,18191.9,23,2,1,1.20906222,1.25,6321.25,4.37297,200.803,0.365563
60,20318757,0.01,1,167.1337084,-29.65319093,10.2103,2282.67,3.28335,1.59174,1335.05,36,2,3,0.694430053,0.67,4246.27,4.59877,13.03795,0.0826
61,20897611,0.01,1,1.48486691,-20.65374186,10.459,2089.78,3.13481,1.52708,9565.67,29,1,2,1.1017828,1,5503,4.39043,23.80262,0.763539
62,21113347,0.01,1,186.7873036,-48.97841054,11.4007,2310.82,4.21807,3.45698,7739.97,37,2,1,1.98765087,,5286.9,,45.85537,0.816049
63,21535395,0.01,1,164.7760668,40.98360779,7.6586,1871.49,2.80099,1.49854,204.855,21,2,4,0.9313607,1.02,5767,4.49543,7.797834,0.0275
64,21744120,0.01,1,256.3464483,33.0124831,11.733,1983.75,5.50804,2.61773,21261.6,25,1,1,0.7305036,0.773,4804.17041,4.58765,70.68591,0.305133
65,21755546,0.01,0,292.2867916,30.29733617,8.40386,2390.72,0.660142,2.01029,518.449,40,1,2,2.62432,3.131,8598.667,4.09572,19.57614,0.0497
66,21832928,0.01,1,256.9826233,32.10548401,6.6813,1987.27,16.3345,4.65725,298.063,25,1,1,1.11650538,1.1,6016,4.37711,8.527364,0.0738
67,22186226,0.01,1,268.1980695,-45.08277873,10.6163,2369.1,9.21699,7.48217,2337.57,39,1,1,2.82503462,1.48,6351.65,3.72526,15.95443,0.465139
68,22221375,0.01,1,149.1243507,-24.09938772,7.3635,1543.25,3.98466,2.40669,400.96,9,2,4,1.04147851,1.09,5924.5,4.44647,19.2419,0.0654
69,22233480,0.01,1,270.3170848,35.59735972,11.2695,2396.41,7.44477,1.95379,3778.54,40,1,2,0.375859,0.363996,4005.67,4.84911,20.36863,0.111469
70,22529346,0.01,1,107.6002525,-39.09738071,10.056,1492,1.27492,2.89451,16188.7,7,3,1,1.59257531,1.45,6396.06641,4.23431,230.3918,0.31562
71,22843856,0.01,0,39.00649912,25.58853387,9.8203,1790.98,1.84971,2.16004,6566.43,18,1,3,0.6525446,,5484,,90.28373,1.08002
72,23229805,0.01,1,274.7604078,34.04509834,8.5608,2017.3,8.85098,4.19466,1238.64,26,1,1,1.15768826,1.16,5937.775,4.43818,19.4285,0.135235
73,23389848,0.01,1,275.1179594,30.85580563,10.142,2398.36,7.82369,10.5582,42130.8,40,1,1,1.82586968,1.005,5774.82275,3.85942,123.2697,1.79906
74,23650642,0.01,1,126.0884702,42.10499219,10.8219,2580.48,1.12265,2.20714,503.543,47,1,1,1.05855072,0.97,5389,4.41288,9.477671,0.049
75,23982469,0.01,1,276.1235178,32.0653695,11.0477,2391.45,4.37447,4.87513,7693.24,40,1,1,1.93546212,1.65,7217.5,4.05424,31.80861,0.459999
76,24358417,0.01,1,81.34438352,-34.66832672,11.7024,2183.68,15.6649,3.32161,5886.75,32,3,1,1.163397,0.97,5395,4.32874,21.89729,0.222849
77,24695044,0.01,1,34.84033292,-72.70865405,10.9916,2039.46,4.16438,1.95025,7880.27,27,3,4,1.00098622,0.91,5101.7,4.45693,60.76427,0.26826
78,25155310,0.01,1,63.37393962,-69.2268227,10.6103,1327.52,3.28858,3.4327,7091.64,1,4,1,1.2847116,1.01,5493.5,4.25432,108.1711,0.248342
79,25375553,0.01,1,328.7676784,-22.61258127,9.77486,1325.58,2.31097,3.41644,6821.41,1,1,3,2.008065,1.336,6369.82,3.98198,145.8241,0.448712
80,25799609,0.01,1,119.1492948,-0.772895925,10.6412,2235.1,11.1185,4.49651,5503.03,34,1,2,1.07697451,1.046,5787,4.40195,28.20276,0.734575
81,26469462,0.01,1,107.7628975,14.9476111,10.3657,2212.47,12.4424,0.992732,2289.83,33,1,3,1.23089075,1.212,6024.93359,4.39001,8.22094,0.0783918
82,26547036,0.01,1,292.1666485,53.48732153,9.26693,1712.3,13.2319,8.68461,6457.37,15,2,1,1.105674,1.054,5728.31,4.39929,68.65957,0.885453
83,26826078,0.01,1,111.9164531,24.33653285,10.2832,2500.29,2.87533,1.87936,21673.6,46,3,4,0.725397646,0.73,4500.5,4.63858,277.9333,0.353111
84,26880783,0.01,1,293.4435926,53.46455811,9.2118,2392.03,1.77525,2.45117,877.128,40,2,1,3.22588,2.45,9010,3.80994,25.69125,0.311016
85,27064468,0.01,1,151.6600308,18.63410885,9.56225,2528.78,5.4587,3.75118,1363.84,46,3,4,1.27470565,1.201,6095.6665,4.32747,22.06884,0.125162
86,27194429,0.01,1,200.4528409,17.76548402,7.43229,1928.12,0.555293,0.848036,406.148,23,1,2,2.148319,1.488,7009.45264,3.89932,18.29521,0.016
87,27491137,0.01,1,217.3926784,39.79042916,8.3745,1743.72,10.3566,3.24899,1116.76,16,4,4,0.778046548,0.87,5149.6,4.60219,14.53854,0.0961
88,27769688,0.01,1,296.1327974,48.97737811,11.3523,1721.39,11.9219,6.57379,2185.3,15,2,4,0.9423939,0.967,5474,4.47728,7.570976,0.270858
89,27848472,0.01,1,278.6317733,35.66152478,10.1058,2012.11,1.84689,2.70017,12221.5,26,1,1,1.29899788,1.261,6433.314,4.27096,181.7486,0.289838
90,28116365,0.01,1,14.35140268,-21.55057356,10.8724,2118.84,8.27674,3.60331,1174.79,29,1,1,0.8276161,0.837,5008.6,4.53132,8.702609,0.117338
91,28230919,0.01,1,297.7093644,48.08086038,8.5077,1687.21,4.88777,2.3538,4241.79,14,2,4,0.7693955,0.77,4757.267,4.5631,67.63572,0.130718
92,28900646,0.01,1,68.59373014,43.03741375,11.1117,1816.23,0.669176,0.897667,950.303,19,1,2,0.462408,0.459708,3886.7168,4.7705,11.19458,0.025
93,28961316,0.01,1,50.2750607,25.29734534,11.3186,2448.38,3.34604,4.13467,5023.4,42,1,4,1.86619675,0.96,5226.99,3.85731,37.99681,0.312162
94,29017001,0.01,1,50.78709632,24.69007097,9.58025,2505.29,8.20039,2.03555,1506.65,44,4,4,1.90492225,1.111,5625.6,3.99391,14.92495,1.01778
95,29117085,0.01,1,118.4267856,46.47200337,11.2119,2583.21,18.2114,3.98121,18993.4,47,1,1,0.872160554,0.931,5374,4.50945,31.69081,0.58393
96,29119552,0.01,1,118.6298095,45.80801537,10.2061,2581.94,7.62888,3.35835,9824.31,47,1,1,1.671588,1.171,5924,4.09579,116.3474,0.747181
97,29191624,0.01,1,151.8070364,46.11497654,8.737,1873.3,14.6532,2.49763,530.486,21,2,4,0.9910762,1.06,5845,4.4776,8.491539,0.0652
98,29781292,0.01,1,65.2380522,-68.10264277,8.9387,1550.81,10.4468,8.68744,545.696,9,4,1,1.42433965,1.24,6222.5,4.23189,12.96827,0.191455
99,29831208,0.01,1,66.58254045,-67.80649444,11.1311,1326.54,1.8429,1.62172,2409.68,1,4,1,4.423789,,5100,,21.45538,0.810861
100,29857954,0.01,1,316.6319018,-26.69263186,10.7379,2066.12,9.47637,4.73826,3652.66,28,1,4,1.70493793,1.031,5801.75,3.94627,22.57878,0.251199
