tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err,Table1.Disposition
00001003831-01,1003831,1,s0008,44452,1.65114,0.00000195,1518.2,0.0000739,2458518.2,0.0000739,0.0592,0.0128016,8.27178,0.00735,83.797,0.701702,0.893771,0.0183,0.872646,0.00561,0.211067,0.0028,3056.04,54.9736,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.620624,-0.2705547,0.6703869,-0.3353122,11,mandel-agol_geometric_transit_model,TRUE,24.11271,1303.477,1547.399,19.32116,41.43447,25.24615,130,138.3798,7.25451,5.26848,0.0271436,-1,1574.49,-1,1452.38,-1,1,1,5550,116.741,4.32801,0.0765,0,0,1.12196,0.0548,0.6918827,0.1264468,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,1.650986552,-1,1518.205005,-1,2458518.205,-1,0.873151588,-1,0.228045513,-1,2873.901213,-1,TRUE,13042,1302,3.059851,495.8015,-0.0194213,0.651821,3.03159,-3.890516,0.2781,-0.228148,8.430987,17.31683,5.865149,0,0,3.818578,1.194949,3402.953,255.4467,2.358744,6.978567,1.8E-75,6.786455,0.1332671,0.9366819,15,14.41905,2.375584,-1.715758,2.598467,0.7179348,2.590255,1.859907,2.597245,-1.791143,2.598465,1.043983,2.590254,2.073184,2.596385,CP
00001103432-01,1103432,1,s0008,44452,3.7279,0.00000195,1519.87,0.0000739,2458519.87,0.0000739,0.121381,0.0128016,7.47267,0.00735,86.2379,0.701702,0.490312,0.0183,3.86367,0.00561,0.537299,0.0028,16224,54.9736,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.4222004,0.4305794,-0.2761409,0.0461,4,mandel-agol_geometric_transit_model,TRUE,35.74706,2092.085,2460.536,33.24129,107.0452,1.22363,412,430.8258,24.1474,5.26848,0.049,-1,1631.67,-1,1675.12,-1,1,1,6065.82,126.605,3.96992,0.0845,-0.169824,0.0765,1.82228,0.0976,0.1867689,0.0377,TIC8.1,TIC8.1,TIC8.1,TIC8.1,TIC8.1-Der,3.729165077,-1,1519.868519,-1,2458519.869,-1,3.80917681,-1,0.622430788,-1,15058.372,-1,TRUE,12771,3852,2.64976,1776.455,-0.0789059,0.4453428,2.17247,-1.641737,1.9347,0.37081,15.72765,29.94065,0.8566086,0,0,4.030144,1.353117,3574.391,284.8527,2.239381,6.65138,3.93E-178,7.013661,-0.6000251,1.074118,6,22.90063,2.106402,-2.853356,2.521723,-0.8631675,2.521092,2.981057,2.52167,0.190907,2.52172,-0.8943779,2.521091,0.9145257,2.521118,PC
00001129033-01,1129033,1,s0004,44354,1.36002,0.00000633,1410.98,0.000141287,2458410.98,0.000141287,0.128568,0.00104184,5.43291,0.0118,89.8945,11.6824,0.01,0.513513,2.174,0.00953,0.250185,0.00854,19480.6,630.827,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.630946,-0.278458,0.664625,-0.3303594,16,mandel-agol_geometric_transit_model,TRUE,309.9769,3988.332,4783.745,272.0432,6094.969,6256.849,925,9076.848,13.109,2.31014,0.0239644,0.00131,1544.02,115.811,1343.16,3476.16,1,1,5605,110.703,4.49347,0.0734,0.07,0.03,0.933975,0.0429,1.216563,0.2130731,TIC8.1,TIC8.1,TIC8.1,TIC8.1,TIC8.1-Der,1.359808564,-1,1410.986793,-1,2458410.987,-1,2.166888005,-1,0.343465456,-1,18432.93173,-1,TRUE,18771,7194,2.64595,186.799,-0.0948192,0.9785467,3.04512,-2.676289,0.62498,0.526366,83.98699,277.3111,2.261628,0,0,0.3434334,0.1182738,1827.482,152.358,-5.551241,1.752114,0,7.250088,0.04321291,1.013783,20,211.2527,32.54864,-0.193688,2.500219,0.5251888,2.500194,0.5597663,2.500197,0.01384283,2.500218,-0.1668182,2.500193,0.1673916,2.500193,KP
00001133072-01,1133072,1,s0008,44452,0.846533,0.00000195,1517.53,0.0000739,2458517.53,0.0000739,0.048,0.0128016,2.47941,0.00735,83.7423,0.701702,0.270256,0.0183,2.73794,0.00561,0.142141,0.0028,2687.51,54.9736,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.6806192,0.1952881,-0.1092784,0.00138006,21,mandel-agol_geometric_transit_model,TRUE,13.27543,7120.777,8498.834,11.69405,29.77555,10.43808,1348,1330.393,2.59689,5.26848,0.0138488,-1,916.197,-1,166.524,-1,1,1,3471,157,4.74129,0.00809,0,0,0.495561,0.0148445,4.056886,0.1431115,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.846796751,-1,1517.525485,-1,2458517.525,-1,4.352910378,-1,2.174317513,-1,3473.038998,-1,TRUE,13426,6446,0.9122158,201.2546,-1.31195,0.7748797,0.86474,-2.814418,0.44025,0.561088,3.763382,8.44804,0.3263522,0,0,3.148753,3.709259,1886.965,562.1113,0.5792944,1.722251,4.47E-21,6.418658,0.034,0.9000975,29,6.782564,3.794544,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,EB
00001167538-01,1167538,1,s0031,44201,13.7799,0.0000231,2155.21,0.00101516,2459155.21,0.00101516,0.063,0.0035,13.2664,0.0228,88.6803,2.30651,0.305541,0.0109233,8.08949,0.0605196,0.526949,0.0302598,4561.85,129.119,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.5593401,-0.03858259,0.3515771,-0.2113632,2,mandel-agol_geometric_transit_model,TRUE,40.21151,3143.816,2285.062,46.94356,207.2403,2512.788,359,3087.442,7.1485,1.11195,0.114359,-1,774.66,-1,85.1069,-1,1,1,5825,130.903,4.42582,0.0798,0,0,1.03876,0.0523,0.9360617,0.1782427,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,13.85416031,-1,2155.133544,-1,2459155.134,-1,8.068540816,-1,0.642973657,-1,3994.816476,-1,TRUE,22530,2858,2.589325,284.6298,-0.0824987,0.5238361,2.68955,-4.254525,-2.58613,-0.634745,71.40697,49.64263,789.4538,0,0,40.07418,14.77182,3013.475,269.365,2.645184,8.259963,2.54E-274,5.625571,-1.457158,1.444753,2,50.61558,5.055474,0.03034837,2.508997,-0.6538746,2.50889,0.6545785,2.50889,-0.575615,2.508991,-1.049729,2.508881,1.19719,2.508906,PC
00001449640-01,1449640,1,s0005,44379,3.50155,-1,1440.43,-1,2458440.43,-1,0.121355,-1,7.11119,-1,86.4023,-1,0.446226,-1,3.89114,-1,0.51644,-1,16264.2,-1,0,-1,0,-1,claret_tess_nonlinear_limb_darkening_model,0.4343899,0.486221,-0.4282826,0.1208909,6,mandel-agol_geometric_transit_model,TRUE,95.57832,2587.863,3206.071,89.16879,738.7742,2.60173,629,682.037,22.1099,-1,0.0492,-1,1648.38,-1,1744.83,-1,1,1,6411,131.795,4.1038,0.089,0,0,1.66889,0.0794,0.2775696,0.05839834,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,3.501387358,-1,1440.432669,-1,2458440.433,-1,3.823238692,-1,0.607077427,-1,15733.0401,-1,TRUE,17400,4978,4.702577,1385.728,-0.0240712,0.6272249,3.20861,-2.050734,1.74164,0.82081,40.99362,97.98755,0.304222,0,0,3.767679,0.9486018,3550.723,199.4391,2.91764,9.041843,0,8.654154,-1.06302,1.364889,7,57.27168,12.25861,-0.1961192,2.502683,-0.1484541,2.505177,0.2459702,2.503592,0.0792,2.502681,-1.157762,2.505174,1.160465,2.505162,EB
00001528696-01,1528696,1,s0005,44379,0.882078,-1,1438.4,-1,2458438.4,-1,0.117068,-1,5.86197,-1,81.5563,-1,0.86076,-1,0.829526,-1,0.30049,-1,11977.3,-1,0,-1,0,-1,claret_tess_nonlinear_limb_darkening_model,0.7033292,-0.6422889,1.159769,-0.4725473,28,mandel-agol_geometric_transit_model,TRUE,26.74758,3118.675,3904.651,23.83426,76.06289,54.2299,389,368.9478,10.0055,-1,0.0163,-1,1428.24,-1,983.402,-1,1,1,4669,122,4.5199,0,0,0,0.782888,0,1.542411,0,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,0.882167399,-1,1438.40265,-1,2458438.403,-1,0.83464602,-1,0.286364146,-1,11558.03166,-1,TRUE,17337,3320,2.065331,1042.328,-0.0597893,0.6836924,2.4535,-2.411471,0.0666,0.496728,6.222425,20.58356,1.211236,0,0,1.520027,0.6950606,2451.917,287.5244,0.7481751,3.530682,1.64E-103,6.693814,-0.1273675,0.9600805,30,15.09771,4.294884,0.09,2.584831,-1.793814,2.628069,1.796072,2.627961,0.819039,2.584827,-0.8631886,2.628063,1.189924,2.607668,KP
00002758565-01,2758565,1,s0029,44316,3.78181,0.00313,2089.65,0.00218,2459089.65,0.00218,0.159816,0.03,9.81669,157.695,84.5075,27.454,0.939605,30.9588,2.01194,0.468633,1.00597,0.492111,15538.9,602.529,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.5584787,-0.0351,0.3484899,-0.2101317,6,mandel-agol_geometric_transit_model,TRUE,36.16816,1400.927,1717.544,25.96095,65.31167,44.4178,224,231.1442,20.4147,2.23214,0.0482,0.00203,1263.07,19.0428,601.486,1.62742,1,1,5807,121.463,4.31866,0.0821,0,0,1.17009,0.0699,0.6492924,0.1287285,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,3.781942844,-1,2089.653824,-1,2459089.654,-1,1.985126631,-1,0.791523687,-1,15838.05871,-1,TRUE,15008,2080,5.371744,2726.547,-0.0500922,0.5155078,6.02031,-3.058888,1.89581,1.9597,15.23266,25.15201,0.5626382,0,0,8.346684,7.894298,3319.289,780.2394,0.9306316,2.630109,3.15E-116,7.553227,-0.3534853,1.114426,7,21.86034,9.494091,0.5469217,2.529359,-0.4186495,2.525058,0.6887603,2.527771,0.1135218,2.529357,-0.2395622,2.525056,0.2650985,2.525845,PC
00002760219-01,2760219,1,s0029,44316,4.66104,0.00313,2089.61,0.00218,2459089.61,0.00218,0.0732,0.03,10.6069,157.695,85.2822,27.454,0.872402,30.9588,2.10648,0.468633,0.526133,0.492111,4876.18,602.529,0,0,0,0,claret_tess_nonlinear_limb_darkening_model,0.5109028,0.1516613,0.0891,-0.1042977,4,mandel-agol_geometric_transit_model,TRUE,24.08792,1102.142,1269.923,17.51795,30.43777,0.20381,179,134.2315,12.1722,2.23214,0.0562,0.00203,1366.48,19.0428,824.004,1.62742,1,1,5949,125.492,4.10968,0.0859,0,0,1.52373,0.0901,0.3081569,0.0636,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,4.661108971,-1,2089.607177,-1,2459089.607,-1,2.02108422,-1,0.485517758,-1,4837.219056,-1,TRUE,14913,1899,3.142942,718.0239,-0.0707064,0.6661059,3.08477,-2.374656,1.24025,2.3472,14.85542,15.89526,1.326454,0,0,8.430018,2.562904,3599.977,255.5181,2.899062,8.544305,4.31E-60,6.985573,0.1417546,0.9659854,6,9.46215,2.188806,0.133548,2.580544,1.377323,2.571652,1.383782,2.571735,0.1332754,2.580542,1.170049,2.57165,1.177615,2.571764,PC
00002760710-01,2760710,1,s0002,44335,11.9816,-1,1364.08,-1,2458364.08,-1,0.192674,-1,21.424,-1,87.3764,-1,0.980671,-1,2.90362,-1,1.45181,-1,16617.6,0,0,-1,0,-1,claret_tess_nonlinear_limb_darkening_model,0.6549776,0.3387064,-0.3105059,0.0787,2,mandel-agol_geometric_transit_model,TRUE,7.870163,651.845,798.7787,6.890391,5.151642,4.84053,84,73.9369,5.07636,-1,0.0611,-1,278.542,-1,1.42261,-1,1,1,3176,157,4.99822,0.0148288,0,0,0.241339,0.00743,15.05193,0.6918489,TIC8.1,TIC8.1,Solar,TIC8.1,TIC8.1-Der,11.9652729,-1,1364.084997,-1,2458364.085,-1,2.559042869,-1,1.027454215,-1,14109.26359,-1,TRUE,18711,681,2.267748,4616.537,0.0549864,0.6641443,3.69413,-8.127196,-1.0653,-1.01113,6.847098,7.66932,4.012534,0,0,367.8469,2869.63,1886.029,3679.451,0.1278377,0.436879,0.00000068,7.647797,-4.710559,2.562656,2,0.5422386,-0.7509476,12.43292,2.917459,5.114904,2.903505,13.44395,2.915443,23.71476,2.917381,7.822767,2.9035,24.97169,2.916022,PC
